File,Line,Column,Property,Aht,Result,Time
,23,9,INVALID_DEREF,31,unsat,1.176
,24,9,INVALID_FREE,31,unsat,1.200
,28,9,INVALID_DEREF,31,unsat,1.213
,28,9,INVALID_DEREF,34,unsat,2.410
,30,13,INVALID_DEREF,34,unsat,1.577
,30,13,INVALID_DEREF,35,unsat,3.128
,30,13,INVALID_FREE,40,sat,5.099
,30,13,INVALID_FREE,56,sat,19.379
,30,13,INVALID_FREE,40,unsat,4.710
,30,13,INVALID_DEREF,34,unsat,1.534
,30,13,INVALID_DEREF,35,unsat,2.494
,31,9,INVALID_FREE,31,unsat,1.104
,31,9,INVALID_FREE,34,unsat,2.352
,35,1,MEMORY_LEAK,35,unsat,3.093
,,,,,Totaltime:,78.939
test-0513-mutate.c,64,1,MEMORY_LEAK,54,unsat,9.799
,64,1,MEMORY_LEAK,67,unsat,23.341
,61,9,INVALID_FREE,62,unsat,16.785
,60,9,INVALID_DEREF,62,unsat,15.229
,34,9,INVALID_DEREF,27,unsat,0.407
,33,9,INVALID_FREE,-,unsat,0.000
,32,9,INVALID_DEREF,-,unsat,0.001
,32,9,INVALID_DEREF,22,unsat,0.180
,31,9,INVALID_DEREF,22,unsat,0.183
,30,9,INVALID_DEREF,-,unsat,0.001
,30,9,INVALID_DEREF,22,unsat,0.190
,29,9,INVALID_DEREF,22,unsat,0.189
,28,5,INVALID_DEREF,22,unsat,0.181
,22,9,INVALID_DEREF,7,unsat,0.003
,20,13,INVALID_DEREF,3,unsat,0.001
,18,23,INVALID_DEREF,7,unsat,0.002
,17,9,INVALID_DEREF,3,unsat,0.001
,36,13,INVALID_DEREF,24,unsat,0.308
,36,13,INVALID_DEREF,24,unsat,0.310
,37,17,INVALID_DEREF,-,unsat,0.001
,38,17,INVALID_DEREF,-,unsat,0.001
,41,17,INVALID_DEREF,30,unsat,0.226
,42,17,INVALID_DEREF,24,unsat,0.307
,44,13,INVALID_DEREF,37,unsat,0.418
,44,13,INVALID_DEREF,39,unsat,2.057
,47,13,INVALID_DEREF,24,unsat,0.319
,47,13,INVALID_DEREF,39,unsat,1.813
,50,13,INVALID_DEREF,-,unsat,0.001
,50,13,INVALID_DEREF,-,unsat,0.002
,54,9,INVALID_DEREF,49,unsat,6.826
,56,5,INVALID_DEREF,51,unsat,7.924
,57,5,INVALID_FREE,51,unsat,8.275
,60,9,INVALID_DEREF,-,unsat,0.002
,,,,,Totaltime:,95.283
,,,,,,
Formulas(sat/unsat): 26/228,Average(sat/unsat): 1.001/0.824,Min_time(sat/unsat): 0.001/0.0,Max_time(sat/unsat): 19.379/23.341,,,
,,,,,,
Theory_solving,,,,,,
Formulas(sat/unsat): 26/203,Average(sat/unsat): 1.001/0.925,Min_time(sat/unsat): 0.001/0.0,Max_time(sat/unsat): 19.379/23.341,Formulas_with_aht: 229,Average_aht: 16,Min/Max(aht): 2/67
